hh_id,region_name,region_id,latnum,longnum,sex_binary,age,eduyrs,hh_income,wt.by.ht,water_source,water_mins,hhid,hv001,hv006,hv007,hv009,hv012,hv014,hv021,hv023,hv024,hv025,hv040,hv201,hv204,hv205,hv206,hv207,hv208,hv209,hv213,hv214,hv215,hv221,hv225,hv235,hv270,hv104,hv105,hv106,hv107,hv108,hv109,hv111,hv113,hv121,hv124,region
1 11,manicaland,167,6.9022698,8.0971146,female,10,3,poorer,-0.525280647,unprotected spring,60,1 11,1,5,2013,9,9,1,1,35,manicaland,rural,81,unprotected spring,60,pit latrine without slab/open pit,no,no,no,no,natural - earth / sand,rudimentary - stone with mud,natural - thatch,no,no,elsewhere,poorer,female,10,primary,2,2,incomplete primary,yes,yes,attended at some time,3,167
1 17,manicaland,167,6.9022698,8.0971146,male,9,2,poorest,-0.320092532,river/dam/lake/ponds/stream/canal/irrigation channel,120,1 17,1,5,2013,13,13,5,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,120,pit latrine without slab/open pit,no,yes,no,no,natural - earth / sand,natural - mud,natural - thatch,no,no,elsewhere,poorest,male,9,primary,1,1,incomplete primary,yes,yes,attended at some time,2,167
1 62,manicaland,167,6.9022698,8.0971146,male,8,3,poorer,-1.104341991,river/dam/lake/ponds/stream/canal/irrigation channel,180,1 62,1,5,2013,6,6,1,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,180,pit latrine with slab,no,no,no,no,natural - earth / sand,natural - mud,natural - thatch,no,no,elsewhere,poorer,male,8,primary,2,2,incomplete primary,yes,yes,attended at some time,3,167
1 60,manicaland,167,6.9022698,8.0971146,male,6,1,poorer,-1.092910874,river/dam/lake/ponds/stream/canal/irrigation channel,180,1 60,1,5,2013,5,5,1,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,180,pit latrine without slab/open pit,no,yes,no,no,natural - earth / sand,finished - bricks,natural - thatch,no,no,elsewhere,poorer,male,6,primary,0,0,incomplete primary,yes,yes,attended at some time,1,167
1 15,manicaland,167,6.9022698,8.0971146,female,6,1,poorer,0.775733189,river/dam/lake/ponds/stream/canal/irrigation channel,20,1 15,1,5,2013,6,6,2,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,20,pit latrine without slab/open pit,no,no,no,no,natural - earth / sand,natural - mud,natural - thatch,no,no,elsewhere,poorer,female,6,primary,0,0,incomplete primary,yes,yes,attended at some time,1,167
1 68,manicaland,167,6.9022698,8.0971146,male,8,2,poorer,0.115524186,river/dam/lake/ponds/stream/canal/irrigation channel,60,1 68,1,5,2013,6,6,2,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,60,pit latrine with slab,no,no,no,no,natural - earth / sand,natural - mud,natural - thatch,no,no,elsewhere,poorer,male,8,primary,1,1,incomplete primary,yes,yes,attended at some time,2,167
1 60,manicaland,167,6.9022698,8.0971146,male,9,3,poorer,-0.414698719,river/dam/lake/ponds/stream/canal/irrigation channel,180,1 60,1,5,2013,5,5,1,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,180,pit latrine without slab/open pit,no,yes,no,no,natural - earth / sand,finished - bricks,natural - thatch,no,no,elsewhere,poorer,male,9,primary,2,2,incomplete primary,yes,yes,attended at some time,3,167
1 38,manicaland,167,6.9022698,8.0971146,male,6,0,poorer,1.52016953,river/dam/lake/ponds/stream/canal/irrigation channel,120,1 38,1,5,2013,7,7,2,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,120,pit latrine without slab/open pit,no,yes,no,no,natural - earth / sand,finished - bricks,natural - thatch,no,no,elsewhere,poorer,male,6,"no education, preschool",NA,0,no education,yes,yes,attended at some time,0,167
1 90,manicaland,167,6.9022698,8.0971146,female,11,1,poorer,1.100982664,river/dam/lake/ponds/stream/canal/irrigation channel,on premises,1 90,1,5,2013,6,6,0,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,on premises,pit latrine without slab/open pit,no,yes,no,no,natural - earth / sand,finished - bricks,finished - metal,no,no,in own yard/plot,poorer,female,11,primary,0,0,incomplete primary,yes,yes,attended at some time,1,167
1 17,manicaland,167,6.9022698,8.0971146,male,11,3,poorest,-0.339330144,river/dam/lake/ponds/stream/canal/irrigation channel,120,1 17,1,5,2013,13,13,5,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,120,pit latrine without slab/open pit,no,yes,no,no,natural - earth / sand,natural - mud,natural - thatch,no,no,elsewhere,poorest,male,11,primary,2,2,incomplete primary,yes,yes,attended at some time,3,167
